candle_open_time,open_price,high_price,low_price,close_price,btc_volume,candle_close_time,usd_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-05-01 02:23:00,58322.75000000,58322.75000000,58293.96000000,58305.48000000,0.02740600,2021-05-01 02:23:59.999,1597.62246010,6,0.00082300,47.99325242,0
2021-05-01 02:24:00,58307.34000000,58307.34000000,58307.34000000,58307.34000000,0.00913400,2021-05-01 02:24:59.999,532.57924356,8,0.00913400,532.57924356,0
2021-05-01 02:25:00,58307.34000000,58307.34000000,58284.36000000,58284.36000000,0.23795300,2021-05-01 02:25:59.999,13872.15777217,11,0.00489500,285.40836200,0
2021-05-01 02:26:00,58270.55000000,58270.55000000,58237.36000000,58256.57000000,0.19404100,2021-05-01 02:26:59.999,11303.75076039,17,0.04774300,2781.14210981,0
2021-05-01 02:27:00,58275.43000000,58275.43000000,58241.00000000,58241.00000000,0.00621500,2021-05-01 02:27:59.999,362.08020022,7,0.00621500,362.08020022,0
2021-05-01 02:28:00,58236.96000000,58236.96000000,58205.16000000,58205.16000000,0.11714100,2021-05-01 02:28:59.999,6820.04739263,19,0.00164700,95.90519430,0
2021-05-01 02:29:00,58215.58000000,58307.34000000,58215.58000000,58307.34000000,0.14139600,2021-05-01 02:29:59.999,8235.82878774,17,0.10422500,6071.78149997,0
2021-05-01 02:30:00,58325.58000000,58354.00000000,58312.85000000,58326.58000000,0.20438200,2021-05-01 02:30:59.999,11921.34824559,27,0.16004800,9335.83023171,0
2021-05-01 02:31:00,58344.80000000,58344.80000000,58234.79000000,58274.40000000,0.90284800,2021-05-01 02:31:59.999,52602.96909160,21,0.01255900,731.88337118,0
2021-05-01 02:32:00,58272.70000000,58323.16000000,58272.70000000,58302.51000000,0.09836400,2021-05-01 02:32:59.999,5732.96310151,13,0.08751200,5100.28571592,0
2021-05-01 02:33:00,58304.99000000,58334.33000000,58297.68000000,58297.68000000,0.16010400,2021-05-01 02:33:59.999,9336.30533622,16,0.03284900,1915.52737817,0
2021-05-01 02:34:00,58310.22000000,58315.77000000,58286.90000000,58286.90000000,0.54013000,2021-05-01 02:34:59.999,31488.16673110,15,0.24594500,14338.32407666,0
2021-05-01 02:35:00,58299.47000000,58329.04000000,58281.90000000,58281.90000000,0.35878000,2021-05-01 02:35:59.999,20920.88827110,14,0.17864000,10415.49511674,0
2021-05-01 02:36:00,58270.22000000,58270.22000000,58269.95000000,58269.95000000,0.03804000,2021-05-01 02:36:59.999,2216.59501890,2,0.01537000,895.60913150,0
